image_id,category,subject,model,field,ground_truth,model_answer,verdict,notes
triumph-mars,mythology,The triumph of Mars: an Allegory of War,gemini:gemini-2.5-pro,date,1627 (dated),c. 1620,correct,
triumph-mars,mythology,The triumph of Mars: an Allegory of War,gemini:gemini-2.5-pro,collection,,Herzog Anton Ulrich-Museum,correct,
triumph-mars,mythology,The triumph of Mars: an Allegory of War,gemini:gemini-3.5-flash,title,The triumph of Mars: an Allegory of War,The Triumph of Scipio Africanus,correct,
triumph-mars,mythology,The triumph of Mars: an Allegory of War,gemini:gemini-3.5-flash,artist,"Nieulandt, Guilliam van (II)",Willem van Nieulandt II,correct,
triumph-mars,mythology,The triumph of Mars: an Allegory of War,gemini:gemini-3.5-flash,date,1627 (dated),1615,correct,
triumph-mars,mythology,The triumph of Mars: an Allegory of War,gemini:gemini-3.5-flash,collection,,"Rijksmuseum, Amsterdam",correct,
wedding-peleus-thetis,mythology,The wedding of Peleus and Thetis,gemini:gemini-2.5-pro,title,The wedding of Peleus and Thetis,The Wedding of Peleus and Thetis,correct,
wedding-peleus-thetis,mythology,The wedding of Peleus and Thetis,gemini:gemini-2.5-pro,artist,"Cornelisz. van Haarlem, Cornelis",Joachim Wtewael,correct,
wedding-peleus-thetis,mythology,The wedding of Peleus and Thetis,gemini:gemini-2.5-pro,date,1592-1593,c. 1612,correct,
wedding-peleus-thetis,mythology,The wedding of Peleus and Thetis,gemini:gemini-2.5-pro,collection,,"Alte Pinakothek, Munich",correct,
wedding-peleus-thetis,mythology,The wedding of Peleus and Thetis,gemini:gemini-3.5-flash,title,The wedding of Peleus and Thetis,The Feast of the Gods,correct,
wedding-peleus-thetis,mythology,The wedding of Peleus and Thetis,gemini:gemini-3.5-flash,artist,"Cornelisz. van Haarlem, Cornelis",Frans Floris,correct,
wedding-peleus-thetis,mythology,The wedding of Peleus and Thetis,gemini:gemini-3.5-flash,date,1592-1593,1550,correct,
wedding-peleus-thetis,mythology,The wedding of Peleus and Thetis,gemini:gemini-3.5-flash,collection,,Royal Museum of Fine Arts Antwerp,correct,
abigail-david,old_testament,Abigail in Supplication before David,gemini:gemini-2.5-pro,title,Abigail in Supplication before David.,The Meeting of David and Abigail,correct,
abigail-david,old_testament,Abigail in Supplication before David,gemini:gemini-2.5-pro,artist,"Cornelisz van Oostsanen, Jacob",Master of the von Groote Adoration,correct,
abigail-david,old_testament,Abigail in Supplication before David,gemini:gemini-2.5-pro,date,1453-1533,c. 1515-1520,correct,
abigail-david,old_testament,Abigail in Supplication before David,gemini:gemini-2.5-pro,collection,,"Städel Museum, Frankfurt am Main",correct,
abigail-david,old_testament,Abigail in Supplication before David,gemini:gemini-3.5-flash,title,Abigail in Supplication before David.,The Meeting of David and Abigail,correct,
abigail-david,old_testament,Abigail in Supplication before David,gemini:gemini-3.5-flash,artist,"Cornelisz van Oostsanen, Jacob",Lucas van Leyden,correct,
abigail-david,old_testament,Abigail in Supplication before David,gemini:gemini-3.5-flash,date,1453-1533,c. 1515-1520,correct,
abigail-david,old_testament,Abigail in Supplication before David,gemini:gemini-3.5-flash,collection,,Detroit Institute of Arts,correct,
abraham-isaac,old_testament,The sacrifice of Isaac (Abraham and Isaac),gemini:gemini-2.5-pro,title,,The Sacrifice of Isaac,correct,
abraham-isaac,old_testament,The sacrifice of Isaac (Abraham and Isaac),gemini:gemini-2.5-pro,artist,,Mattia Preti,correct,
abraham-isaac,old_testament,The sacrifice of Isaac (Abraham and Isaac),gemini:gemini-2.5-pro,date,,c. 1653-1656,correct,
abraham-isaac,old_testament,The sacrifice of Isaac (Abraham and Isaac),gemini:gemini-2.5-pro,collection,,Museo di Capodimonte,correct,
abraham-isaac,old_testament,The sacrifice of Isaac (Abraham and Isaac),gemini:gemini-3.5-flash,title,,The Sacrifice of Isaac,correct,
abraham-isaac,old_testament,The sacrifice of Isaac (Abraham and Isaac),gemini:gemini-3.5-flash,artist,,Orazio Riminaldi,correct,
abraham-isaac,old_testament,The sacrifice of Isaac (Abraham and Isaac),gemini:gemini-3.5-flash,date,,c. 1625,correct,
abraham-isaac,old_testament,The sacrifice of Isaac (Abraham and Isaac),gemini:gemini-3.5-flash,collection,,"Galleria Nazionale d'Arte Antica, Rome",correct,
abraham-melchizedek,old_testament,Abraham Meeting Melchizedek,gemini:gemini-2.5-pro,title,Abraham Meeting Melchizedek.,The Meeting of Abraham and Melchizedek,correct,
abraham-melchizedek,old_testament,Abraham Meeting Melchizedek,gemini:gemini-2.5-pro,artist,"Bleker, Gerrit Claesz",Peter Paul Rubens,correct,
abraham-melchizedek,old_testament,Abraham Meeting Melchizedek,gemini:gemini-2.5-pro,date,1625-1656,c. 1626,correct,
abraham-melchizedek,old_testament,Abraham Meeting Melchizedek,gemini:gemini-2.5-pro,collection,,"National Gallery of Art, Washington D.C.",correct,
abraham-melchizedek,old_testament,Abraham Meeting Melchizedek,gemini:gemini-3.5-flash,title,Abraham Meeting Melchizedek.,The Conversion of Saint Bavo,correct,
abraham-melchizedek,old_testament,Abraham Meeting Melchizedek,gemini:gemini-3.5-flash,artist,"Bleker, Gerrit Claesz",Gaspar de Crayer,correct,
abraham-melchizedek,old_testament,Abraham Meeting Melchizedek,gemini:gemini-3.5-flash,date,1625-1656,c. 1630-1650,correct,
abraham-melchizedek,old_testament,Abraham Meeting Melchizedek,gemini:gemini-3.5-flash,collection,,"Museum of Fine Arts, Ghent",correct,
abram-lot-divide,old_testament,Abram and Lot Dividing up the World between Them,gemini:gemini-2.5-pro,title,Abram and Iot Dividing up the World between Them.,The Philosophers (Pythagoras and his pupils),correct,
abram-lot-divide,old_testament,Abram and Lot Dividing up the World between Them,gemini:gemini-2.5-pro,artist,"Zanchi, Antonio",Antonio Zanchi,correct,
abram-lot-divide,old_testament,Abram and Lot Dividing up the World between Them,gemini:gemini-2.5-pro,date,1651-1722,c. 1665,correct,
abram-lot-divide,old_testament,Abram and Lot Dividing up the World between Them,gemini:gemini-2.5-pro,collection,,"Accademia Carrara, Bergamo",correct,
abram-lot-divide,old_testament,Abram and Lot Dividing up the World between Them,gemini:gemini-3.5-flash,title,Abram and Iot Dividing up the World between Them.,Archimedes,correct,
abram-lot-divide,old_testament,Abram and Lot Dividing up the World between Them,gemini:gemini-3.5-flash,artist,"Zanchi, Antonio",Antonio Zanchi,correct,
abram-lot-divide,old_testament,Abram and Lot Dividing up the World between Them,gemini:gemini-3.5-flash,date,1651-1722,ca. 1670,correct,
abram-lot-divide,old_testament,Abram and Lot Dividing up the World between Them,gemini:gemini-3.5-flash,collection,,,correct,
balaam-ass,old_testament,Balaam strikes his ass; the ass lies down and starts to speak,gemini:gemini-2.5-pro,title,Balaam and his ass,Balaam and the Ass,correct,
balaam-ass,old_testament,Balaam strikes his ass; the ass lies down and starts to speak,gemini:gemini-2.5-pro,artist,"Lastman, Pieter",Rembrandt van Rijn,correct,
balaam-ass,old_testament,Balaam strikes his ass; the ass lies down and starts to speak,gemini:gemini-2.5-pro,date,dated 1622,1626,correct,
balaam-ass,old_testament,Balaam strikes his ass; the ass lies down and starts to speak,gemini:gemini-2.5-pro,collection,,Musée Cognacq-Jay,correct,
balaam-ass,old_testament,Balaam strikes his ass; the ass lies down and starts to speak,gemini:gemini-3.5-flash,title,Balaam and his ass,Balaam and the Ass,correct,
balaam-ass,old_testament,Balaam strikes his ass; the ass lies down and starts to speak,gemini:gemini-3.5-flash,artist,"Lastman, Pieter",Rembrandt van Rijn,correct,
balaam-ass,old_testament,Balaam strikes his ass; the ass lies down and starts to speak,gemini:gemini-3.5-flash,date,dated 1622,1626,correct,
balaam-ass,old_testament,Balaam strikes his ass; the ass lies down and starts to speak,gemini:gemini-3.5-flash,collection,,Musée Cognacq-Jay,correct,
bathsheba-letter,old_testament,Bathsheba receives a letter from David,gemini:gemini-2.5-pro,title,Bathsheba receives a letter from David (2 Samuel 11:4),Bathsheba at her Fountain,correct,
bathsheba-letter,old_testament,Bathsheba receives a letter from David,gemini:gemini-2.5-pro,artist,"Rubens, Peter Paul [free after]",Hieronymus Francken the Younger,correct,
bathsheba-letter,old_testament,Bathsheba receives a letter from David,gemini:gemini-2.5-pro,date,after 1635,c. 1625-1635,correct,
bathsheba-letter,old_testament,Bathsheba receives a letter from David,gemini:gemini-2.5-pro,collection,,,correct,
bathsheba-letter,old_testament,Bathsheba receives a letter from David,gemini:gemini-3.5-flash,title,Bathsheba receives a letter from David (2 Samuel 11:4),Bathsheba at her Bath,correct,
bathsheba-letter,old_testament,Bathsheba receives a letter from David,gemini:gemini-3.5-flash,artist,"Rubens, Peter Paul [free after]",Jan Brueghel the Younger and Hendrick van Balen,correct,
bathsheba-letter,old_testament,Bathsheba receives a letter from David,gemini:gemini-3.5-flash,date,after 1635,c. 1625-1630,correct,
bathsheba-letter,old_testament,Bathsheba receives a letter from David,gemini:gemini-3.5-flash,collection,,,correct,
belshazzar-feast,old_testament,Belshazzar's Feast (Daniel 5:5-7),gemini:gemini-2.5-pro,title,,Belshazzar's Feast,correct,
belshazzar-feast,old_testament,Belshazzar's Feast (Daniel 5:5-7),gemini:gemini-2.5-pro,artist,,Frans van der Keulen,correct,
belshazzar-feast,old_testament,Belshazzar's Feast (Daniel 5:5-7),gemini:gemini-2.5-pro,date,,1701,correct,
belshazzar-feast,old_testament,Belshazzar's Feast (Daniel 5:5-7),gemini:gemini-2.5-pro,collection,,,correct,
belshazzar-feast,old_testament,Belshazzar's Feast (Daniel 5:5-7),gemini:gemini-3.5-flash,title,,Belshazzar's Feast,correct,
belshazzar-feast,old_testament,Belshazzar's Feast (Daniel 5:5-7),gemini:gemini-3.5-flash,artist,,F. C. Keilles,correct,
belshazzar-feast,old_testament,Belshazzar's Feast (Daniel 5:5-7),gemini:gemini-3.5-flash,date,,1701,correct,
belshazzar-feast,old_testament,Belshazzar's Feast (Daniel 5:5-7),gemini:gemini-3.5-flash,collection,,,correct,
drunkenness-noah,old_testament,The drunkenness of Noah,gemini:gemini-2.5-pro,title,The drunkenness of Noah,The Drunkenness of Noah,correct,
drunkenness-noah,old_testament,The drunkenness of Noah,gemini:gemini-2.5-pro,artist,"Floris, Frans (I) [circle of]",Jacopo Tintoretto,correct,
drunkenness-noah,old_testament,The drunkenness of Noah,gemini:gemini-2.5-pro,date,c. 1550-1574,c. 1550-1560,correct,
drunkenness-noah,old_testament,The drunkenness of Noah,gemini:gemini-2.5-pro,collection,,Musée des Beaux-Arts de Bordeaux,correct,
drunkenness-noah,old_testament,The drunkenness of Noah,gemini:gemini-3.5-flash,title,The drunkenness of Noah,The Drunkenness of Noah,correct,
drunkenness-noah,old_testament,The drunkenness of Noah,gemini:gemini-3.5-flash,artist,"Floris, Frans (I) [circle of]",Bernardo Strozzi,correct,
drunkenness-noah,old_testament,The drunkenness of Noah,gemini:gemini-3.5-flash,date,c. 1550-1574,c. 1630,correct,
drunkenness-noah,old_testament,The drunkenness of Noah,gemini:gemini-3.5-flash,collection,,"Palazzo Rosso, Genoa",correct,
elisha-shunem-woman,old_testament,The Prophet Elisha and the Rich Woman of Shunem,gemini:gemini-2.5-pro,title,The Prophet Elisha and the Rich Woman of Shunem.,Landscape with Elijah and the Angel,correct,
elisha-shunem-woman,old_testament,The Prophet Elisha and the Rich Woman of Shunem,gemini:gemini-2.5-pro,artist,"Mola, Pier Francesco",Gaspard Dughet,correct,
elisha-shunem-woman,old_testament,The Prophet Elisha and the Rich Woman of Shunem,gemini:gemini-2.5-pro,date,1648-1650,c. 1650-1660,correct,
elisha-shunem-woman,old_testament,The Prophet Elisha and the Rich Woman of Shunem,gemini:gemini-2.5-pro,collection,,"The National Gallery, London",correct,
elisha-shunem-woman,old_testament,The Prophet Elisha and the Rich Woman of Shunem,gemini:gemini-3.5-flash,title,The Prophet Elisha and the Rich Woman of Shunem.,Landscape with Elijah and the Widow of Zarephath,correct,
elisha-shunem-woman,old_testament,The Prophet Elisha and the Rich Woman of Shunem,gemini:gemini-3.5-flash,artist,"Mola, Pier Francesco",Francisque Millet,correct,
elisha-shunem-woman,old_testament,The Prophet Elisha and the Rich Woman of Shunem,gemini:gemini-3.5-flash,date,1648-1650,c. 1670-1679,correct,
elisha-shunem-woman,old_testament,The Prophet Elisha and the Rich Woman of Shunem,gemini:gemini-3.5-flash,collection,,"National Gallery, London",correct,
feast-esther,old_testament,Feast of Esther,gemini:gemini-2.5-pro,title,Feast of Esther.,The Feast of Esther,correct,
feast-esther,old_testament,Feast of Esther,gemini:gemini-2.5-pro,artist,"Cortona, Pietro da",Pietro della Vecchia,correct,
feast-esther,old_testament,Feast of Esther,gemini:gemini-2.5-pro,date,1622-1678,c. 1645-1650,correct,
feast-esther,old_testament,Feast of Esther,gemini:gemini-2.5-pro,collection,,J. Paul Getty Museum,correct,
feast-esther,old_testament,Feast of Esther,gemini:gemini-3.5-flash,title,Feast of Esther.,Feast of Esther,correct,
feast-esther,old_testament,Feast of Esther,gemini:gemini-3.5-flash,artist,"Cortona, Pietro da",Pietro della Vecchia,correct,
feast-esther,old_testament,Feast of Esther,gemini:gemini-3.5-flash,date,1622-1678,ca. 1640,correct,
feast-esther,old_testament,Feast of Esther,gemini:gemini-3.5-flash,collection,,J. Paul Getty Museum,correct,
finding-moses,old_testament,The finding of Moses: Pharaoh's daughter comes to bathe with her maidens in the river and discovers the child floating on the water,gemini:gemini-2.5-pro,title,,The Finding of Moses,correct,
finding-moses,old_testament,The finding of Moses: Pharaoh's daughter comes to bathe with her maidens in the river and discovers the child floating on the water,gemini:gemini-2.5-pro,artist,,Unknown,correct,
finding-moses,old_testament,The finding of Moses: Pharaoh's daughter comes to bathe with her maidens in the river and discovers the child floating on the water,gemini:gemini-2.5-pro,date,,17th century,correct,
finding-moses,old_testament,The finding of Moses: Pharaoh's daughter comes to bathe with her maidens in the river and discovers the child floating on the water,gemini:gemini-2.5-pro,collection,,Unknown,correct,
finding-moses,old_testament,The finding of Moses: Pharaoh's daughter comes to bathe with her maidens in the river and discovers the child floating on the water,gemini:gemini-3.5-flash,title,,The Finding of Moses,correct,
finding-moses,old_testament,The finding of Moses: Pharaoh's daughter comes to bathe with her maidens in the river and discovers the child floating on the water,gemini:gemini-3.5-flash,artist,,Giovanni Francesco Romanelli,correct,
finding-moses,old_testament,The finding of Moses: Pharaoh's daughter comes to bathe with her maidens in the river and discovers the child floating on the water,gemini:gemini-3.5-flash,date,,17th century,correct,
finding-moses,old_testament,The finding of Moses: Pharaoh's daughter comes to bathe with her maidens in the river and discovers the child floating on the water,gemini:gemini-3.5-flash,collection,,"Galleria Nazionale d'Arte Antica, Rome",correct,
gathering-manna,old_testament,The Gathering of Manna,gemini:gemini-2.5-pro,title,The Gathering of Manna.,The Israelites Gathering Manna,correct,
gathering-manna,old_testament,The Gathering of Manna,gemini:gemini-2.5-pro,artist,Bramantino,Ercole de' Roberti,correct,
gathering-manna,old_testament,The Gathering of Manna,gemini:gemini-2.5-pro,date,1503-1506,c. 1490,correct,
gathering-manna,old_testament,The Gathering of Manna,gemini:gemini-2.5-pro,collection,,"The National Gallery, London",correct,
gathering-manna,old_testament,The Gathering of Manna,gemini:gemini-3.5-flash,title,The Gathering of Manna.,The Gathering of Manna,correct,
gathering-manna,old_testament,The Gathering of Manna,gemini:gemini-3.5-flash,artist,Bramantino,Bernardino Luini,correct,
gathering-manna,old_testament,The Gathering of Manna,gemini:gemini-3.5-flash,date,1503-1506,c. 1520-1523,correct,
gathering-manna,old_testament,The Gathering of Manna,gemini:gemini-3.5-flash,collection,,Pinacoteca di Brera,correct,
hagar-ishmael,old_testament,Hagar Ishmael and the Angel in the Wilderness,gemini:gemini-2.5-pro,title,"Hagar, Ishmael and the Angel in the Wilderness.",Hagar and the Angel,correct,
hagar-ishmael,old_testament,Hagar Ishmael and the Angel in the Wilderness,gemini:gemini-2.5-pro,artist,"Cortona, Pietro da",Pompeo Batoni,correct,
hagar-ishmael,old_testament,Hagar Ishmael and the Angel in the Wilderness,gemini:gemini-2.5-pro,date,1637 - 1638,1776,correct,
hagar-ishmael,old_testament,Hagar Ishmael and the Angel in the Wilderness,gemini:gemini-2.5-pro,collection,,Galleria Nazionale d'Arte Antica - Palazzo Corsini,correct,
hagar-ishmael,old_testament,Hagar Ishmael and the Angel in the Wilderness,gemini:gemini-3.5-flash,title,"Hagar, Ishmael and the Angel in the Wilderness.",Hagar and Ishmael in the Wilderness,correct,
hagar-ishmael,old_testament,Hagar Ishmael and the Angel in the Wilderness,gemini:gemini-3.5-flash,artist,"Cortona, Pietro da",Carlo Maratta,correct,
hagar-ishmael,old_testament,Hagar Ishmael and the Angel in the Wilderness,gemini:gemini-3.5-flash,date,1637 - 1638,c. 1680,correct,
hagar-ishmael,old_testament,Hagar Ishmael and the Angel in the Wilderness,gemini:gemini-3.5-flash,collection,,Museo del Prado,correct,
isaac-blesses-jacob,old_testament,Isaac blesses Jacob disguised in Esau's clothes; Jacob's hands and neck covered with goatskins,gemini:gemini-2.5-pro,title,Isaac blessing Jacob,Isaac Blessing Jacob,correct,
isaac-blesses-jacob,old_testament,Isaac blesses Jacob disguised in Esau's clothes; Jacob's hands and neck covered with goatskins,gemini:gemini-2.5-pro,artist,"Horst, Gerrit Willemsz.",Govert Flinck,correct,
isaac-blesses-jacob,old_testament,Isaac blesses Jacob disguised in Esau's clothes; Jacob's hands and neck covered with goatskins,gemini:gemini-2.5-pro,date,1638,c. 1638,correct,
isaac-blesses-jacob,old_testament,Isaac blesses Jacob disguised in Esau's clothes; Jacob's hands and neck covered with goatskins,gemini:gemini-2.5-pro,collection,,Rijksmuseum,correct,
isaac-blesses-jacob,old_testament,Isaac blesses Jacob disguised in Esau's clothes; Jacob's hands and neck covered with goatskins,gemini:gemini-3.5-flash,title,Isaac blessing Jacob,Isaac Blessing Jacob,correct,
isaac-blesses-jacob,old_testament,Isaac blesses Jacob disguised in Esau's clothes; Jacob's hands and neck covered with goatskins,gemini:gemini-3.5-flash,artist,"Horst, Gerrit Willemsz.",Govert Flinck,correct,
isaac-blesses-jacob,old_testament,Isaac blesses Jacob disguised in Esau's clothes; Jacob's hands and neck covered with goatskins,gemini:gemini-3.5-flash,date,1638,1638,correct,
isaac-blesses-jacob,old_testament,Isaac blesses Jacob disguised in Esau's clothes; Jacob's hands and neck covered with goatskins,gemini:gemini-3.5-flash,collection,,"Rijksmuseum, Amsterdam",correct,
jacob-esau-reconcile,old_testament,Reconciliation of Jacob and Esau,gemini:gemini-2.5-pro,title,Reconciliation of Jacob and Esau.,The Rape of the Sabine Women,correct,
jacob-esau-reconcile,old_testament,Reconciliation of Jacob and Esau,gemini:gemini-2.5-pro,artist,"Cortona, Pietro da",Pietro da Cortona,correct,
jacob-esau-reconcile,old_testament,Reconciliation of Jacob and Esau,gemini:gemini-2.5-pro,date,1616-1669,c. 1629-1631,correct,
jacob-esau-reconcile,old_testament,Reconciliation of Jacob and Esau,gemini:gemini-2.5-pro,collection,,"Capitoline Museums, Rome",correct,
jacob-esau-reconcile,old_testament,Reconciliation of Jacob and Esau,gemini:gemini-3.5-flash,title,Reconciliation of Jacob and Esau.,The Meeting of Jacob and Esau,correct,
jacob-esau-reconcile,old_testament,Reconciliation of Jacob and Esau,gemini:gemini-3.5-flash,artist,"Cortona, Pietro da",Giovanni Maria Bottalla,correct,
jacob-esau-reconcile,old_testament,Reconciliation of Jacob and Esau,gemini:gemini-3.5-flash,date,1616-1669,c. 1640,correct,
jacob-esau-reconcile,old_testament,Reconciliation of Jacob and Esau,gemini:gemini-3.5-flash,collection,,"Capitoline Museums, Rome",correct,
jephtha-daughter,old_testament,Jephtha welcomed by his daughter (Judges 11:29-40),gemini:gemini-2.5-pro,title,Jephtha welcomed by his daughter (Judges 11:29-40),The Meeting of Jephthah and His Daughter,correct,
jephtha-daughter,old_testament,Jephtha welcomed by his daughter (Judges 11:29-40),gemini:gemini-2.5-pro,artist,"Francken, Hieronymus (III)",Frans Francken the Younger,correct,
jephtha-daughter,old_testament,Jephtha welcomed by his daughter (Judges 11:29-40),gemini:gemini-2.5-pro,date,1626 - 1661,c. 1630-1635,correct,
jephtha-daughter,old_testament,Jephtha welcomed by his daughter (Judges 11:29-40),gemini:gemini-2.5-pro,collection,,,correct,
jephtha-daughter,old_testament,Jephtha welcomed by his daughter (Judges 11:29-40),gemini:gemini-3.5-flash,title,Jephtha welcomed by his daughter (Judges 11:29-40),The Meeting of Jephthah and his Daughter,correct,
jephtha-daughter,old_testament,Jephtha welcomed by his daughter (Judges 11:29-40),gemini:gemini-3.5-flash,artist,"Francken, Hieronymus (III)",Frans Francken II,correct,
jephtha-daughter,old_testament,Jephtha welcomed by his daughter (Judges 11:29-40),gemini:gemini-3.5-flash,date,1626 - 1661,c. 1620,correct,
jephtha-daughter,old_testament,Jephtha welcomed by his daughter (Judges 11:29-40),gemini:gemini-3.5-flash,collection,,,correct,
jeremiah-baruch,old_testament,Jeremiah Dictating His Prophecy of the Destruction of Jerusalem to Baruch the Scribe,gemini:gemini-2.5-pro,title,Jeremiah Dictating His Prophecy of the Destruction of Jerusalem to Baruch the Scribe.,Jeremiah Dictating His Prophecy of the Destruction of Jerusalem to Baruch the Scribe,correct,
jeremiah-baruch,old_testament,Jeremiah Dictating His Prophecy of the Destruction of Jerusalem to Baruch the Scribe,gemini:gemini-2.5-pro,artist,"Allston, Washington",Washington Allston,correct,
jeremiah-baruch,old_testament,Jeremiah Dictating His Prophecy of the Destruction of Jerusalem to Baruch the Scribe,gemini:gemini-2.5-pro,date,1799-1843,1820,correct,
jeremiah-baruch,old_testament,Jeremiah Dictating His Prophecy of the Destruction of Jerusalem to Baruch the Scribe,gemini:gemini-2.5-pro,collection,,Yale University Art Gallery,correct,
jeremiah-baruch,old_testament,Jeremiah Dictating His Prophecy of the Destruction of Jerusalem to Baruch the Scribe,gemini:gemini-3.5-flash,title,Jeremiah Dictating His Prophecy of the Destruction of Jerusalem to Baruch the Scribe.,Jeremiah Dictating his Prophecy of the Destruction of Jerusalem to Baruch the Scribe,correct,
jeremiah-baruch,old_testament,Jeremiah Dictating His Prophecy of the Destruction of Jerusalem to Baruch the Scribe,gemini:gemini-3.5-flash,artist,"Allston, Washington",Washington Allston,correct,
jeremiah-baruch,old_testament,Jeremiah Dictating His Prophecy of the Destruction of Jerusalem to Baruch the Scribe,gemini:gemini-3.5-flash,date,1799-1843,1820,correct,
jeremiah-baruch,old_testament,Jeremiah Dictating His Prophecy of the Destruction of Jerusalem to Baruch the Scribe,gemini:gemini-3.5-flash,collection,,Yale University Art Gallery,correct,
joseph-cup-dream,old_testament,Two Scenes in the Life of Joseph: The Discovery of Joseph's Cup in Benjamin's Sack and Joseph Interpreting Pharaoh's Dream,gemini:gemini-2.5-pro,title,"Two Scenes in the Life of Joseph: ""The Discovery of Joseph's Cup in Benjamin's Sack"" and ""Joseph Interpreting Pharaoh's Dream"".",The Discovery of the Stolen Cup in Benjamin's Sack,correct,
joseph-cup-dream,old_testament,Two Scenes in the Life of Joseph: The Discovery of Joseph's Cup in Benjamin's Sack and Joseph Interpreting Pharaoh's Dream,gemini:gemini-2.5-pro,artist,"Carlone, Giovanni Battista",Jan Cossiers,correct,
joseph-cup-dream,old_testament,Two Scenes in the Life of Joseph: The Discovery of Joseph's Cup in Benjamin's Sack and Joseph Interpreting Pharaoh's Dream,gemini:gemini-2.5-pro,date,1612-1677,c. 1650s,correct,
joseph-cup-dream,old_testament,Two Scenes in the Life of Joseph: The Discovery of Joseph's Cup in Benjamin's Sack and Joseph Interpreting Pharaoh's Dream,gemini:gemini-2.5-pro,collection,,Royal Museums of Fine Arts of Belgium,correct,
joseph-cup-dream,old_testament,Two Scenes in the Life of Joseph: The Discovery of Joseph's Cup in Benjamin's Sack and Joseph Interpreting Pharaoh's Dream,gemini:gemini-3.5-flash,title,"Two Scenes in the Life of Joseph: ""The Discovery of Joseph's Cup in Benjamin's Sack"" and ""Joseph Interpreting Pharaoh's Dream"".",The Finding of the Cup in Benjamin's Sack,correct,
joseph-cup-dream,old_testament,Two Scenes in the Life of Joseph: The Discovery of Joseph's Cup in Benjamin's Sack and Joseph Interpreting Pharaoh's Dream,gemini:gemini-3.5-flash,artist,"Carlone, Giovanni Battista",Jan Cossiers,correct,
joseph-cup-dream,old_testament,Two Scenes in the Life of Joseph: The Discovery of Joseph's Cup in Benjamin's Sack and Joseph Interpreting Pharaoh's Dream,gemini:gemini-3.5-flash,date,1612-1677,c. 1650,correct,
joseph-cup-dream,old_testament,Two Scenes in the Life of Joseph: The Discovery of Joseph's Cup in Benjamin's Sack and Joseph Interpreting Pharaoh's Dream,gemini:gemini-3.5-flash,collection,,"Hermitage Museum, St. Petersburg",correct,
judah-tamar,old_testament,Judah's love-affair with Tamar; he gives her his signet-ring and staff,gemini:gemini-2.5-pro,title,Judah's love-affair with Tamar; he gives her his signet-ring (Genesis 38:18),Vertumnus and Pomona,correct,
judah-tamar,old_testament,Judah's love-affair with Tamar; he gives her his signet-ring and staff,gemini:gemini-2.5-pro,artist,"Hemessen, Jan Sanders van",Jan van Scorel,correct,
judah-tamar,old_testament,Judah's love-affair with Tamar; he gives her his signet-ring and staff,gemini:gemini-2.5-pro,date,second or third quarter 16th century,c. 1524,correct,
judah-tamar,old_testament,Judah's love-affair with Tamar; he gives her his signet-ring and staff,gemini:gemini-2.5-pro,collection,,Museum Boijmans Van Beuningen,correct,
judah-tamar,old_testament,Judah's love-affair with Tamar; he gives her his signet-ring and staff,gemini:gemini-3.5-flash,title,Judah's love-affair with Tamar; he gives her his signet-ring (Genesis 38:18),Judah and Tamar,correct,
judah-tamar,old_testament,Judah's love-affair with Tamar; he gives her his signet-ring and staff,gemini:gemini-3.5-flash,artist,"Hemessen, Jan Sanders van",Jan Swart van Groningen,correct,
judah-tamar,old_testament,Judah's love-affair with Tamar; he gives her his signet-ring and staff,gemini:gemini-3.5-flash,date,second or third quarter 16th century,ca. 1530 - 1540,correct,
judah-tamar,old_testament,Judah's love-affair with Tamar; he gives her his signet-ring and staff,gemini:gemini-3.5-flash,collection,,"Rijksmuseum, Amsterdam",correct,
judgement-solomon,old_testament,Judgement of Solomon,gemini:gemini-2.5-pro,title,Judgement of Solomon.,The Judgment of Solomon,correct,
judgement-solomon,old_testament,Judgement of Solomon,gemini:gemini-2.5-pro,artist,"Cresti, Domenico",Matthias Stom,correct,
judgement-solomon,old_testament,Judgement of Solomon,gemini:gemini-2.5-pro,date,1578-1638,c. 1640,correct,
judgement-solomon,old_testament,Judgement of Solomon,gemini:gemini-2.5-pro,collection,,"Museum of Fine Arts, Houston",correct,
judgement-solomon,old_testament,Judgement of Solomon,gemini:gemini-3.5-flash,title,Judgement of Solomon.,The Judgment of Solomon,correct,
judgement-solomon,old_testament,Judgement of Solomon,gemini:gemini-3.5-flash,artist,"Cresti, Domenico",Jusepe de Ribera,correct,
judgement-solomon,old_testament,Judgement of Solomon,gemini:gemini-3.5-flash,date,1578-1638,c. 1609-1610,correct,
judgement-solomon,old_testament,Judgement of Solomon,gemini:gemini-3.5-flash,collection,,Galleria Borghese,correct,
lot-daughters,old_testament,Lot and His Daughters,gemini:gemini-2.5-pro,title,Lot and His Daughters.,Lot and His Daughters,correct,
lot-daughters,old_testament,Lot and His Daughters,gemini:gemini-2.5-pro,artist,Guercino,Guido Reni,correct,
lot-daughters,old_testament,Lot and His Daughters,gemini:gemini-2.5-pro,date,1611-1666,c. 1615-1616,correct,
lot-daughters,old_testament,Lot and His Daughters,gemini:gemini-2.5-pro,collection,,"National Gallery, London",correct,
lot-daughters,old_testament,Lot and His Daughters,gemini:gemini-3.5-flash,title,Lot and His Daughters.,Lot and his Daughters,correct,
lot-daughters,old_testament,Lot and His Daughters,gemini:gemini-3.5-flash,artist,Guercino,Guercino (Giovanni Francesco Barbieri),correct,
